"File does not exist","File does not exist"
"File is not readable","File is not readable"
"File is too big","File is too big"
"Files","Files"
"Files Count","Files Count"
"Files Permissions","Files Permissions"
"Finished At","Finished At"
"Fixed Product Taxes (FPT)","Fixed Product Taxes (FPT)"
"Flat Catalog Category","Flat Catalog Category"
"Flat Catalog Product","Flat Catalog Product"
"For Checkout","For Checkout"
"For Multishipping","For Multishipping"
"From","From"
"Frontend Model","Frontend Model"
"Full Page Cache Crawler","Full Page Cache Crawler"
"Fully completed: %s","Fully completed: %s"
"General","General"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Shipping - Carrier Calculated"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digital Delivery"
"Google Checkout Shipping - Flat Rate","Google Checkout Shipping - Flat Rate"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Shipping - Merchant Calculated"
"Group","Group"
"ID","ID"
"Incomplete","Incomplete"
"Increment ID","Increment ID"
"Increment Model","Increment Model"
"Index","Index"
"Index Status","Index Status"
"Input command to run list is empty","Input command to run list is empty"
"Invalidated","Invalidated"
"Is Active","Is Active"
"Is Default","Is Default"
"Is Gateway","Is Gateway"
"Is Visible","Is Visible"
"Job Code","Job Code"
"Keys:","Keys:"
"Last Occurrence","Last Occurrence"
"Last Update","Last Update"
"Layouts Theme","Layouts Theme"
"Log Customers","Log Customers"
"Log Details","Log Details"
"Log Entries","Log Entries"
"Log Files","Log Files"
"Log Quotes","Log Quotes"
"Log Tables Cleaning","Log Tables Cleaning"
"Log URLs","Log URLs"
"Log Visitors","Log Visitors"
"Log Visitors Online","Log Visitors Online"
"Logs","Logs"
"Magento Version","Magento Version"
"Main Table","Main Table"
"Maintenance Mode","Maintenance Mode"
"Manage Backups","Manage Backups"
"Manage Reports","Manage Reports"
"Manage System Backups","Manage System Backups"
"Manage System Reports","Manage System Reports"
"Merge CSS Files","Merge CSS Files"
"Merge JavaScript Files","Merge JavaScript Files"
"Message","Message"
"Method","Method"
"Missing Core Files","Missing Core Files"
"Missing Core Tables","Missing Core Tables"
"Missing DB Routines List","Missing DB Routines List"
"Missing DB Triggers List","Missing DB Triggers List"
"Missing Data","Missing Data"
"Mode","Mode"
"Model","Model"
"Modified Core Files","Modified Core Files"
"Modified Core Tables","Modified Core Tables"
"Module","Module"
"Modules","Modules"
"MySQL Configuration","MySQL Configuration"
"MySQL Databases Present","MySQL Databases Present"
"MySQL Plugins","MySQL Plugins"
"MySQL Server Version","MySQL Server Version"
"MySQL Status","MySQL Status"
"MySQL Supported Engines","MySQL Supported Engines"
"Name","Name"
"Never","Never"
"New Backup","New Backup"
"New Class","New Class"
"New DB Routines List","New DB Routines List"
"New DB Tables","New DB Tables"
"New DB Triggers List","New DB Triggers List"
"New Data","New Data"
"New Eav Attributes","New Eav Attributes"
"New Files","New Files"
"New Report","New Report"
"No","No"
"No data","No data"
"No types were specified to generate system report.","No types were specified to generate system report."
"Not Compiled","Not Compiled"
"Not completed at all: %s","Not completed at all: %s"
"OS Information","OS Information"
"OS X","OS X"
"Observer Class","Observer Class"
"Original Class","Original Class"
"Output","Output"
"Owner","Owner"
"PHP Additional .ini files parsed","PHP Additional .ini files parsed"
"PHP Configuration","PHP Configuration"
"PHP Loaded Config File","PHP Loaded Config File"
"PHP Loaded Modules","PHP Loaded Modules"
"PHP Version","PHP Version"
"Parameter","Parameter"
"Partial Capture Offline","Partial Capture Offline"
"Partial Capture Online","Partial Capture Online"
"Partial Refund Offline","Partial Refund Offline"
"Partial Refund Online","Partial Refund Online"
"Partially completed: %s","Partially completed: %s"
"Patch","Patch"
"Patch Files List","Patch Files List"
"Path","Path"
"Payment Methods","Payment Methods"
"Payments Functionality Matrix","Payments Functionality Matrix"
"Payments Functionality Matrix is not available. ReflectionProperty::setAccessible is required for data collection, but it was implemented in PHP 5.3.0; your PHP version is lower.","Payments Functionality Matrix is not available. ReflectionProperty::setAccessible is required for data collection, but it was implemented in PHP 5.3.0; your PHP version is lower."
"Permissions","Permissions"
"Please select report(s) to delete.","Please select report(s) to delete."
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Preparing system report data: Detected Single Row Mode but data may be incomplete."
"Processing","Processing"
"Processing ...","Processing ..."
"Product Attributes","Product Attributes"
"Product Attributes Flat Table Row Size","Product Attributes Flat Table Row Size"
"Product Eav Attributes","Product Eav Attributes"
"Product Types:","Product Types:"
"Ready","Ready"
"Refresh Status","Refresh Status"
"Refund Offline","Refund Offline"
"Refund Online","Refund Online"
"Reindex Required","Reindex Required"
"Remote Address","Remote Address"
"Report","Report"
"Report Types","Report Types"
"Report Version","Report Version"
"Requested report doesn't exist","Requested report doesn't exist"
"Requested system report has no data to display.","Requested system report has no data to display."
"Requested system report has no data to output.","Requested system report has no data to output."
"Requested system report no longer exists.","Requested system report no longer exists."
"Returns:","Returns:"
"Reversion","Reversion"
"Rewrites","Rewrites"
"Rma Item Eav Attributes","Rma Item Eav Attributes"
"Root Category","Root Category"
"Router Rewrites","Router Rewrites"
"Routine Name","Routine Name"
"Run Class","Run Class"
"Run Method","Run Method"
"SKU","SKU"
"Sales Orders","Sales Orders"
"Schedule Id","Schedule Id"
"Scheduled","Scheduled"
"Scheduled At","Scheduled At"
"Scope","Scope"
"Scopes Count","Scopes Count"
"Search Engine","Search Engine"
"Server Address","Server Address"
"Shipping Methods","Shipping Methods"
"Shopping Cart Price Rules","Shopping Cart Price Rules"
"Show Log","Show Log"
"Size","Size"
"Skin (Images / CSS)","Skin (Images / CSS)"
"Skins List","Skins List"
"Solr Search","Solr Search"
"Solution","Solution"
"Solution Version","Solution Version"
"Source Model","Source Model"
"State","State"
"Status","Status"
"Status Code","Status Code"
"Store","Store"
"Store Views List","Store Views List"
"Stores","Stores"
"Stores List","Stores List"
"Support","Support"
"Support Module doesn't support %s operation system","Support Module doesn't support %s operation system"
"System Backups","System Backups"
"System Report Information","System Report Information"
"System Reports","System Reports"
"TOTALS:","TOTALS:"
"Target Rules","Target Rules"
"Tax Rules","Tax Rules"
"Templates Theme","Templates Theme"
"The backup has been deleted.","The backup has been deleted."
"The backup has been saved.","The backup has been saved."
"The system report has been deleted.","The system report has been deleted."
"The system report has been generated.","The system report has been generated."
"Themes List","Themes List"
"There was an error while loading system report data.","There was an error while loading system report data."
"Title","Title"
"To","To"
"Today's Top Exception Messages","Today's Top Exception Messages"
"Today's Top System Messages","Today's Top System Messages"
"Top","Top"
"Top Exception Messages","Top Exception Messages"
"Top System Messages","Top System Messages"
"Total of %d system report(s) have been deleted.","Total of %d system report(s) have been deleted."
"Translations Theme","Translations Theme"
"Type","Type"
"Types","Types"
"URL Redirects","URL Redirects"
"URL Rewrites","URL Rewrites"
"URL key","URL key"
"Unable to find a system report to delete.","Unable to find a system report to delete."
"Unable to generate HTML system report.","Unable to generate HTML system report."
"Unable to read system report data to display.","Unable to read system report data to display."
"Unknown Status","Unknown Status"
"Update Required","Update Required"
"Update Time","Update Time"
"Updated At","Updated At"
"Use HTTP Only","Use HTTP Only"
"Use SID on Frontend","Use SID on Frontend"
"User Defined","User Defined"
"User Defined Eav Attributes","User Defined Eav Attributes"
"VIA PBridge","VIA PBridge"
"Validate HTTP_USER_AGENT","Validate HTTP_USER_AGENT"
"Validate HTTP_VIA","Validate HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validate HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Value","Value"
"Value after 10 sec","Value after 10 sec"
"Variable","Variable"
"Version","Version"
"View","View"
"Void","Void"
"Warning","Warning"
"Website","Website"
"Websites List","Websites List"
"Websites Tree","Websites Tree"
"Windows","Windows"
"Wrong param id","Wrong param id"
"Yes","Yes"
"You are running the sysreport tool on Magento Enterprise Edition %s. This version of Magento is currently not compatible with the tool.","You are running the sysreport tool on Magento Enterprise Edition %s. This version of Magento is currently not compatible with the tool."
"[%s days ago]","[%s days ago]"
"[%s hours ago]","[%s hours ago]"
"[%s minutes ago]","[%s minutes ago]"
"[%s months ago]","[%s months ago]"
"[%s weeks ago]","[%s weeks ago]"
"[%s years ago]","[%s years ago]"
"[Default]","[Default]"
"[VIEW]","[VIEW]"
"bytes","bytes"
"n/a","n/a"
"~ Rows","~ Rows"
"~ Size","~ Size"
